time_index,AQI,ranking,PM2.5(μg/m3),Pm10(μg/m3),So2(μg/m3),No2(μg/m3),Co(mg/m3),O3(μg/m3)
2018-07-31,41.0,123.64516129032258,19.516129032258064,34.83870967741935,6.612903225806452,26.967741935483872,0.5916129032258064,47.58064516129032
2018-08-31,51.629629629629626,185.5185185185185,26.333333333333332,40.888888888888886,6.185185185185185,34.592592592592595,0.768888888888889,69.33333333333333
2018-09-30,50.41379310344828,190.27586206896552,26.79310344827586,40.6551724137931,7.379310344827586,30.310344827586206,0.6006896551724139,63.96551724137931
2018-10-31,59.38709677419355,193.32258064516128,36.645161290322584,52.774193548387096,9.35483870967742,37.12903225806452,0.7732258064516129,66.80645161290323
2018-11-30,60.7,175.53333333333333,41.333333333333336,56.56666666666667,10.166666666666666,41.0,0.854,45.2
2018-12-31,49.28,108.4,33.44,47.64,8.52,37.68,0.8231999999999999,30.16
2019-01-31,69.03225806451613,144.96774193548387,49.54838709677419,63.225806451612904,9.258064516129032,45.54838709677419,1.115483870967742,38.61290322580645
2019-02-28,39.642857142857146,73.71428571428571,26.107142857142858,32.67857142857143,6.25,25.25,0.7896428571428571,40.92857142857143
2019-03-31,48.193548387096776,105.90322580645162,30.419354838709676,43.12903225806452,8.225806451612904,40.516129032258064,0.8325806451612903,41.645161290322584
2019-04-30,44.36666666666667,85.86666666666666,25.666666666666668,39.266666666666666,8.733333333333333,34.93333333333333,0.7746666666666666,48.0
2019-05-31,42.67741935483871,70.83870967741936,20.580645161290324,36.354838709677416,7.967741935483871,29.387096774193548,0.6916129032258065,58.87096774193548
2019-06-30,35.30434782608695,93.47826086956522,13.652173913043478,27.17391304347826,6.956521739130435,25.82608695652174,0.7004347826086956,55.82608695652174
2019-07-31,40.40909090909091,162.1818181818182,18.863636363636363,36.0,6.818181818181818,28.40909090909091,0.6795454545454546,59.90909090909091
2019-08-31,62.0,281.64285714285717,30.714285714285715,47.857142857142854,6.714285714285714,33.857142857142854,0.7642857142857142,84.5
2019-09-30,56.43333333333333,230.36666666666667,31.466666666666665,49.333333333333336,8.933333333333334,35.43333333333333,0.757,94.16666666666667
2019-10-31,65.9375,248.5,41.0625,62.09375,11.875,33.65625,0.7753125,100.21875
2019-11-30,70.2,216.16666666666666,46.2,76.5,13.633333333333333,46.4,0.8053333333333333,83.7
2019-12-31,70.58064516129032,185.38709677419354,49.16129032258065,75.0,13.387096774193548,55.774193548387096,0.8332258064516128,53.32258064516129
2020-01-31,52.87096774193548,120.70967741935483,36.25806451612903,44.806451612903224,8.064516129032258,32.45161290322581,0.7870967741935483,56.67741935483871
2020-02-29,40.55172413793103,114.27586206896552,26.96551724137931,30.137931034482758,7.793103448275862,18.344827586206897,0.5855172413793104,59.0
2020-03-31,38.83870967741935,100.93548387096774,23.580645161290324,37.096774193548384,7.806451612903226,26.741935483870968,0.6138709677419355,52.67741935483871
2020-04-30,47.7,133.43333333333334,29.0,44.13333333333333,9.133333333333333,32.96666666666667,0.6693333333333332,63.13333333333333
2020-05-31,35.29032258064516,88.70967741935483,17.419354838709676,31.29032258064516,6.774193548387097,24.096774193548388,0.6551612903225806,58.064516129032256
